jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|Date_weekend:radius,  modelParams|sensorParams|encoders|Date_timeOfDay:radius,  modelParams|sensorParams|encoders|Date_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1, 2]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1, 2]:window=1000:field=value, 
1001,  1229,  completed,  eof,  2021-12-21 13:16:05,  2021-12-21 13:16:24,  19,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_269.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0445504355555.modelParams|spParams|synPermInactiveDec_0.043785269444,  1054,  11,  269,  15,  3,  0.0445504355555,  None,  None,  None,  0.043785269444,  400.164579458,  6.29271945757, 
1001,  1230,  completed,  eof,  2021-12-21 13:16:14,  2021-12-21 13:16:29,  15,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_163.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0321831046715.modelParams|spParams|synPermInactiveDec_0.0687632041772,  1059,  10,  163,  14,  2,  0.0321831046715,  None,  None,  None,  0.0687632041772,  427.608418368,  6.68076777262, 
1001,  1231,  completed,  eof,  2021-12-21 13:16:15,  2021-12-21 13:16:33,  18,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_260.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0403644952567.modelParams|spParams|synPermInactiveDec_0.0475586100163,  1062,  10,  260,  14,  2,  0.0403644952567,  None,  None,  None,  0.0475586100163,  399.327467347,  6.21504927124, 
1001,  1232,  completed,  eof,  2021-12-21 13:16:15,  2021-12-21 13:16:32,  17,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_173.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0312508426272.modelParams|spParams|synPermInactiveDec_0.0612592716123,  1062,  9,  173,  14,  2,  0.0312508426272,  None,  None,  None,  0.0612592716123,  420.928041572,  6.55123609551, 
1001,  1233,  completed,  eof,  2021-12-21 13:16:24,  2021-12-21 13:16:41,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_213.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0350210752117.modelParams|spParams|synPermInactiveDec_0.0539228599739,  1070,  10,  213,  14,  3,  0.0350210752117,  None,  None,  None,  0.0539228599739,  409.694679019,  6.31216683993, 
1001,  1234,  completed,  eof,  2021-12-21 13:16:29,  2021-12-21 13:16:46,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_225.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0374018180984.modelParams|spParams|synPermInactiveDec_0.0547359654327,  1074,  10,  225,  14,  2,  0.0374018180984,  None,  None,  None,  0.0547359654327,  404.916645548,  6.2085093315, 
1001,  1235,  completed,  eof,  2021-12-21 13:16:33,  2021-12-21 13:16:50,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_211.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0347544913197.modelParams|spParams|synPermInactiveDec_0.0553792350307,  1078,  10,  211,  13,  2,  0.0347544913197,  None,  None,  None,  0.0553792350307,  424.541382745,  6.4795072632, 
1001,  1236,  completed,  eof,  2021-12-21 13:16:34,  2021-12-21 13:16:52,  18,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_254.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0403662005153.modelParams|spParams|synPermInactiveDec_0.048170360576,  1079,  10,  254,  14,  2,  0.0403662005153,  None,  None,  None,  0.048170360576,  401.08666035,  6.11481872983, 
1001,  1237,  completed,  eof,  2021-12-21 13:16:41,  2021-12-21 13:16:59,  18,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_249.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0385191535508.modelParams|spParams|synPermInactiveDec_0.0478430425757,  1086,  10,  249,  14,  2,  0.0385191535508,  None,  None,  None,  0.0478430425757,  401.007424719,  6.0722869437, 
1001,  1238,  completed,  eof,  2021-12-21 13:16:46,  2021-12-21 13:17:05,  19,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_233.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0395128933884.modelParams|spParams|synPermInactiveDec_0.0535892997056,  1091,  10,  233,  14,  2,  0.0395128933884,  None,  None,  None,  0.0535892997056,  412.290352917,  6.21371406975, 
