date,close
2021-12-08,50548.594
2021-12-07,50951.8078
2021-12-06,49027.4736
2021-12-05,49302.1165
2021-12-04,49129.5401
2021-12-03,56518.809
2021-12-02,56955.815
2021-12-01,58931.7317
2021-11-30,57032.3061
2021-11-29,57760.1698
2021-11-28,57258.1618
2021-11-27,54565.8034
2021-11-26,58870.9222
2021-11-25,57925.7432
2021-11-24,57244.9979
2021-11-23,56774.1393
2021-11-22,58056.8179
2021-11-21,59046.656
2021-11-20,59885.9773
2021-11-19,58086.3855
2021-11-18,56907.9345
2021-11-17,60439.4909
2021-11-16,60317.2745
2021-11-15,63843.1305
2021-11-14,65271.7808
2021-11-13,64590.2129
2021-11-12,64263.4195
2021-11-11,64910.7691
2021-11-10,64959.2695
2021-11-09,67089.1943
2021-11-08,67589.7687
2021-11-07,63132.9279
2021-11-06,61519.4764
2021-11-05,61142.7552
2021-11-04,61448.7251
2021-11-03,63046.1713
2021-11-02,63218.0992
2021-11-01,61146.9116
2021-10-31,61410.28
2021-10-30,61803.8063
2021-10-29,62293.0064
2021-10-28,60652.2864
2021-10-27,58640.08
2021-10-26,63391.785
2021-10-25,62894.1838
2021-10-24,61014.7575
2021-10-23,61397.1532
2021-10-22,60766.3221
2021-10-21,62388.7972
2021-10-20,66109.1478
2021-10-19,64323.1775
2021-10-18,61988.3851
2021-10-17,61598.3373
2021-10-16,60920.6162
2021-10-15,61501.8234
2021-10-14,57435.2541
2021-10-13,57433.3034
2021-10-12,56290.7064
2021-10-11,57426.4049
2021-10-10,54698.1164
2021-10-09,55135.7195
2021-10-08,53945.1928
2021-10-07,53834.8772
2021-10-06,55361.449219
2021-10-05,51514.8125
2021-10-04,49112.902344
2021-10-03,48199.953125
2021-10-02,47711.488281
2021-10-01,48116.941406
2021-09-30,43790.894531
2021-09-29,41564.363281
2021-09-28,41034.542969
2021-09-27,42235.730469
2021-09-26,43208.539063
2021-09-25,42716.59375
2021-09-24,42839.75
2021-09-23,44895.097656
2021-09-22,43574.507813
2021-09-21,40693.675781
2021-09-20,42843.800781
2021-09-19,47260.21875
2021-09-18,48278.363281
2021-09-17,47267.519531
2021-09-16,47783.359375
2021-09-15,48176.347656
2021-09-14,47092.492188
2021-09-13,44963.074219
2021-09-12,46063.269531
2021-09-11,45201.457031
2021-09-10,44883.910156
2021-09-09,46391.421875
2021-09-08,46091.390625
2021-09-07,46811.128906
2021-09-06,52633.535156
2021-09-05,51753.410156
2021-09-04,49944.625
2021-09-03,50025.375
2021-09-02,49327.722656
2021-09-01,48847.027344
2021-08-31,47166.6875
2021-08-30,47054.984375
2021-08-29,48829.832031
2021-08-28,48902.402344
2021-08-27,49058.667969
2021-08-26,46942.21875
2021-08-25,48960.789063
2021-08-24,47706.117188
2021-08-23,49546.148438
2021-08-22,49321.652344
2021-08-21,48905.492188
2021-08-20,49339.175781
2021-08-19,46717.578125
2021-08-18,44801.1875
2021-08-17,44695.359375
2021-08-16,46004.484375
2021-08-15,47047.003906
2021-08-14,47096.945313
2021-08-13,47793.320313
2021-08-12,44428.289063
2021-08-11,45593.636719
2021-08-10,45585.03125
2021-08-09,46365.402344
2021-08-08,43798.117188
2021-08-07,44555.800781
2021-08-06,42816.5
2021-08-05,40869.554688
2021-08-04,39747.503906
2021-08-03,38152.980469
2021-08-02,39201.945313
2021-08-01,39974.894531
2021-07-31,41626.195313
2021-07-30,42235.546875
2021-07-29,40008.421875
2021-07-28,39995.90625
2021-07-27,39406.941406
2021-07-26,37337.535156
2021-07-25,35350.1875
2021-07-24,34292.445313
2021-07-23,33581.550781
2021-07-22,32313.105469
2021-07-21,32110.693359
2021-07-20,29807.347656
2021-07-19,30817.832031
2021-07-18,31796.810547
