12/2014,4.25
01/2015,3.78
02/2015,3.98
03/2015,3.41
04/2015,2.83
05/2015,2.95
06/2015,3.01
07/2015,3.06
08/2015,3.09
09/2015,2.92
10/2015,2.73
11/2015,2.63
12/2015,2.57
01/2016,2.54
02/2016,2.28
03/2016,2.04
04/2016,2.15
05/2016,2.15
06/2016,2.6
07/2016,3.02
08/2016,3.13
09/2016,3.16
10/2016,3.06
11/2016,3
12/2016,3.82
01/2017,4.26
02/2017,3.8
03/2017,3.21
04/2017,3.65
05/2017,3.57
06/2017,3.41
07/2017,3.37
08/2017,3.27
09/2017,3.3
10/2017,3.37
11/2017,3.54
12/2017,3.68
01/2018,3.97
02/2018,3.93
03/2018,3.37
04/2018,3.46
05/2018,3.7
06/2018,3.43
07/2018,3.72
08/2018,3.78
09/2018,3.47
10/2018,3.76
11/2018,4.46
12/2018,5.22
01/2019,4.39
02/2019,3.76
03/2019,3.68
04/2019,3.32
05/2019,3.51
06/2019,3.18
07/2019,3.47
08/2019,3.23
09/2019,3.56
10/2019,3.55
11/2019,4.03
12/2019,3.89
01/2020,3.74
02/2020,3.51
03/2020,3.3
04/2020,3.21
05/2020,3.61
06/2020,2.99
07/2020,2.9
08/2020,3.28
09/2020,3.49
10/2020,3.85
11/2020,4.77
12/2020,4.84
01/2021,4.62
02/2021,12.68
03/2021,4.71
04/2021,4.46
05/2021,4.89
06/2021,4.92
07/2021,5.64
08/2021,6.06
09/2021,6.7
10/2021,7.97
