01/2002,2.5
02/2002,2.19
03/2002,2.4
04/2002,2.94
05/2002,2.94
06/2002,2.96
07/2002,2.92
08/2002,2.76
09/2002,2.97
10/2002,3.24
11/2002,3.59
12/2002,3.96
01/2003,4.43
02/2003,5.05
03/2003,6.96
04/2003,4.47
05/2003,4.77
06/2003,5.41
07/2003,5.08
08/2003,4.46
09/2003,4.59
10/2003,4.32
11/2003,4.26
12/2003,4.76
01/2004,5.21
02/2004,5.02
03/2004,5.12
04/2004,5.03
05/2004,5.4
06/2004,5.82
07/2004,5.62
08/2004,5.52
09/2004,5.06
10/2004,5.43
11/2004,6.21
12/2004,6.01
01/2005,5.8
02/2005,5.73
03/2005,5.95
04/2005,6.57
05/2005,6.25
06/2005,6.09
07/2005,6.71
08/2005,6.48
09/2005,8.95
10/2005,10.33
11/2005,9.89
12/2005,9.08
01/2006,8.01
02/2006,6.85
03/2006,6.43
04/2006,6.37
05/2006,6.23
06/2006,5.77
07/2006,5.91
08/2006,6.55
09/2006,6.06
10/2006,5.09
11/2006,6.71
12/2006,6.76
01/2007,5.7
02/2007,6.8
03/2007,6.65
04/2007,6.26
05/2007,6.75
06/2007,6.62
07/2007,6.21
08/2007,5.76
09/2007,5.3
10/2007,5.78
11/2007,6.46
12/2007,6.87
01/2008,7.38
02/2008,8.02
03/2008,8.63
04/2008,8.87
05/2008,9.96
06/2008,10.36
07/2008,10.79
08/2008,8.21
09/2008,6.71
10/2008,5.64
11/2008,5.23
12/2008,5.94
01/2009,4.6
02/2009,3.7
03/2009,3.38
04/2009,3.18
05/2009,3.23
06/2009,3.38
07/2009,3.45
08/2009,3.37
09/2009,2.98
10/2009,3.83
11/2009,4.2
12/2009,4.66
01/2010,5.69
02/2010,5.3
03/2010,4.7
04/2010,4.1
05/2010,4.24
06/2010,4.27
07/2010,4.44
08/2010,4.38
09/2010,3.83
10/2010,4.05
11/2010,4.12
12/2010,4.68
01/2011,4.37
02/2011,4.34
03/2011,3.95
04/2011,4.05
05/2011,4.12
06/2011,4.2
07/2011,4.27
08/2011,4.2
09/2011,3.82
10/2011,3.62
11/2011,3.35
12/2011,3.14
01/2012,2.89
02/2012,2.46
03/2012,2.25
04/2012,1.89
05/2012,1.94
06/2012,2.54
07/2012,2.59
08/2012,2.86
09/2012,2.71
10/2012,3.03
11/2012,3.35
12/2012,3.35
